"Step","Pretrained Resnet18 no_normalize - train_acc","Pretrained Resnet18 no_normalize - train_acc__MIN","Pretrained Resnet18 no_normalize - train_acc__MAX","Pretrained Resnet18 normalize - train_acc","Pretrained Resnet18 normalize - train_acc__MIN","Pretrained Resnet18 normalize - train_acc__MAX"
"0","0.8394832611083984","0.8394832611083984","0.8394832611083984","0.8984302282333374","0.8984302282333374","0.8984302282333374"
"2","0.8737248182296753","0.8737248182296753","0.8737248182296753","0.9130802154541016","0.9130802154541016","0.9130802154541016"
"3","0.8854243755340576","0.8854243755340576","0.8854243755340576","0.9274646043777466","0.9274646043777466","0.9274646043777466"
"5","0.9050084352493286","0.9050084352493286","0.9050084352493286","0.9283779859542847","0.9283779859542847","0.9283779859542847"
"7","0.9120265245437622","0.9120265245437622","0.9120265245437622","0.9107688665390015","0.9107688665390015","0.9107688665390015"
"8","0.9091829061508179","0.9091829061508179","0.9091829061508179","0.9160431623458862","0.9160431623458862","0.9160431623458862"
"10","0.8948020935058594","0.8948020935058594","0.8948020935058594","0.9210621118545532","0.9210621118545532","0.9210621118545532"
"12","0.9105397462844849","0.9105397462844849","0.9105397462844849","0.9310442209243774","0.9310442209243774","0.9310442209243774"
"13","0.8922028541564941","0.8922028541564941","0.8922028541564941","0.9297240972518921","0.9297240972518921","0.9297240972518921"
"15","0.9160999059677124","0.9160999059677124","0.9160999059677124","0.9428367614746094","0.9428367614746094","0.9428367614746094"
"17","0.909092903137207","0.909092903137207","0.909092903137207","0.9299980401992798","0.9299980401992798","0.9299980401992798"
"18","0.9137941598892212","0.9137941598892212","0.9137941598892212","0.9378495216369629","0.9378495216369629","0.9378495216369629"
"20","0.9033855199813843","0.9033855199813843","0.9033855199813843","0.9182862043380737","0.9182862043380737","0.9182862043380737"
"21","0.90663743019104","0.90663743019104","0.90663743019104","0.9346448183059692","0.9346448183059692","0.9346448183059692"
"23","0.9266669750213623","0.9266669750213623","0.9266669750213623","0.9297285079956055","0.9297285079956055","0.9297285079956055"
"25","0.9184868335723877","0.9184868335723877","0.9184868335723877","0.9282418489456177","0.9282418489456177","0.9282418489456177"
"26","0.9197854995727539","0.9197854995727539","0.9197854995727539","0.9321434497833252","0.9321434497833252","0.9321434497833252"
"28","0.905994176864624","0.905994176864624","0.905994176864624","0.9356908798217773","0.9356908798217773","0.9356908798217773"
"30","0.911518931388855","0.911518931388855","0.911518931388855","0.9408004283905029","0.9408004283905029","0.9408004283905029"
"31","0.9120442867279053","0.9120442867279053","0.9120442867279053","0.9240570068359375","0.9240570068359375","0.9240570068359375"
"33","0.909714937210083","0.909714937210083","0.909714937210083","0.9367086887359619","0.9367086887359619","0.9367086887359619"
"35","0.9163271188735962","0.9163271188735962","0.9163271188735962","0.9298888444900513","0.9298888444900513","0.9298888444900513"
"36","0.9136360883712769","0.9136360883712769","0.9136360883712769","0.9407707452774048","0.9407707452774048","0.9407707452774048"
"38","0.9361395835876465","0.9361395835876465","0.9361395835876465","0.9290920495986938","0.9290920495986938","0.9290920495986938"
"40","0.920129656791687","0.920129656791687","0.920129656791687","0.9314721822738647","0.9314721822738647","0.9314721822738647"
"41","0.9139199256896973","0.9139199256896973","0.9139199256896973","0.9326715469360352","0.9326715469360352","0.9326715469360352"
"43","0.9322046041488647","0.9322046041488647","0.9322046041488647","0.9414559602737427","0.9414559602737427","0.9414559602737427"
"44","0.9239439964294434","0.9239439964294434","0.9239439964294434","0.9279149770736694","0.9279149770736694","0.9279149770736694"
"46","0.9184212684631348","0.9184212684631348","0.9184212684631348","0.9326794147491455","0.9326794147491455","0.9326794147491455"
"48","0.9119472503662109","0.9119472503662109","0.9119472503662109","0.9420701265335083","0.9420701265335083","0.9420701265335083"
"49","0.9301553964614868","0.9301553964614868","0.9301553964614868","0.9439147710800171","0.9439147710800171","0.9439147710800171"
